nfe,rmse_val,best_so_far
1,0.1643720357879604,0.1643720357879604
2,0.14348948216257107,0.14348948216257107
3,0.10526489268778173,0.10526489268778173
4,0.1477871359709106,0.10526489268778173
5,0.1297901714583193,0.10526489268778173
6,0.1533715271442768,0.10526489268778173
7,0.10733212098673904,0.10526489268778173
8,0.15246720698342667,0.10526489268778173
9,0.11016257456837336,0.10526489268778173
10,0.12391963569940993,0.10526489268778173
11,0.14924372759574855,0.10526489268778173
12,0.12990789301753378,0.10526489268778173
13,0.11054154340721623,0.10526489268778173
14,0.10850938038146278,0.10526489268778173
15,0.11834998101836366,0.10526489268778173
16,0.1332299360685522,0.10526489268778173
17,0.10528519772340517,0.10526489268778173
18,0.13814360766857628,0.10526489268778173
19,0.10901669850018493,0.10526489268778173
20,0.1089576612764772,0.10526489268778173
21,0.1321175966841846,0.10526489268778173
22,0.1315561362906515,0.10526489268778173
23,0.11477669685158584,0.10526489268778173
24,0.10282777976824363,0.10282777976824363
25,0.10699864909576222,0.10282777976824363
26,0.11936552610577994,0.10282777976824363
27,0.1024467165732382,0.1024467165732382
28,0.11887123841507777,0.1024467165732382
29,0.09306034278884116,0.09306034278884116
30,0.10638018307283165,0.09306034278884116
31,0.10513236959792323,0.09306034278884116
32,0.10123811035079008,0.09306034278884116
33,0.1020270037276096,0.09306034278884116
34,0.1026619502570806,0.09306034278884116
35,0.10771070762934913,0.09306034278884116
36,0.1056133370799326,0.09306034278884116
37,0.10731141968912415,0.09306034278884116
38,0.10507995843339926,0.09306034278884116
39,0.10478682926727316,0.09306034278884116
40,0.1060364024726972,0.09306034278884116
41,0.10732803536517944,0.09306034278884116
42,0.09961052098609163,0.09306034278884116
43,0.10653984985777416,0.09306034278884116
44,0.11060676739992192,0.09306034278884116
45,0.1052771345996397,0.09306034278884116
46,0.11010567399104496,0.09306034278884116
47,0.10527058693156105,0.09306034278884116
48,0.10513572171061752,0.09306034278884116
49,0.10439801049251213,0.09306034278884116
50,0.10875283128405691,0.09306034278884116
51,0.11451790035795144,0.09306034278884116
52,0.1136197536027364,0.09306034278884116
53,0.10381053103208228,0.09306034278884116
54,0.11117645365880442,0.09306034278884116
55,0.10818833161659079,0.09306034278884116
56,0.10231662255561969,0.09306034278884116
57,0.10277042386962722,0.09306034278884116
58,0.10131840593615608,0.09306034278884116
59,0.10984658758341764,0.09306034278884116
60,0.10325439869355231,0.09306034278884116
61,0.10770084766388241,0.09306034278884116
62,0.09966944741169548,0.09306034278884116
63,0.10290101470264074,0.09306034278884116
64,0.1098478799003194,0.09306034278884116
65,0.10968683656785068,0.09306034278884116
66,0.10829119821594198,0.09306034278884116
67,0.10273157396006595,0.09306034278884116
68,0.10506376450674033,0.09306034278884116
69,0.10675602193772221,0.09306034278884116
70,0.10617539063070272,0.09306034278884116
71,0.10479211204444938,0.09306034278884116
72,0.10689709891244652,0.09306034278884116
73,0.10390466551901303,0.09306034278884116
74,0.11917932095134876,0.09306034278884116
75,0.10077787437525022,0.09306034278884116
76,0.10336031653225347,0.09306034278884116
77,0.11361786743068744,0.09306034278884116
78,0.10324403955694014,0.09306034278884116
79,0.10731696130278401,0.09306034278884116
80,0.10904274550448698,0.09306034278884116
81,0.10952550905116716,0.09306034278884116
82,0.0965580687847373,0.09306034278884116
83,0.0987726289973355,0.09306034278884116
84,0.10235269518706006,0.09306034278884116
85,0.10104532050668782,0.09306034278884116
86,0.10428544953192093,0.09306034278884116
87,0.10500158876342514,0.09306034278884116
88,0.10119357732422152,0.09306034278884116
89,0.10362198052226357,0.09306034278884116
90,0.10113102021999115,0.09306034278884116
91,0.10361307976185595,0.09306034278884116
92,0.10184047352210253,0.09306034278884116
93,0.11360894438026423,0.09306034278884116
94,0.10298143709519417,0.09306034278884116
95,0.10190915803550513,0.09306034278884116
96,0.10389052343608801,0.09306034278884116
97,0.10179131985001784,0.09306034278884116
98,0.10352084740237559,0.09306034278884116
99,0.10735546207395094,0.09306034278884116
100,0.10897014596768079,0.09306034278884116
