algorithm,seed,best_rmse_val,learning_rate,hidden_units,dropout,batch_size
MAVO-LSTM,1,0.20806556351645725,0.0005432592265787054,102,0.16753858924527745,32
PSO-LSTM,1,0.22013808959924924,0.00042098427122235356,110,0.15181621024325795,32
Random Search,1,0.15421507042991334,0.008381357920683287,97,0.2706134277737171,32
Default LSTM,1,0.2147882210025217,0.001,32,0.2,32
