nfe,rmse_val,best_so_far
1,0.13247941782260791,0.13247941782260791
2,0.12787610581524195,0.12787610581524195
3,0.12726132051886166,0.12726132051886166
4,0.12455437146137617,0.12455437146137617
5,0.1549789753940875,0.12455437146137617
6,0.11411272601727612,0.11411272601727612
7,0.11254410821048003,0.11254410821048003
8,0.12136670223664066,0.11254410821048003
9,0.12520063339688084,0.11254410821048003
10,0.14644588256133528,0.11254410821048003
11,0.10588289476567952,0.10588289476567952
12,0.11039396888911102,0.10588289476567952
13,0.15097869377703815,0.10588289476567952
14,0.12187051637287231,0.10588289476567952
15,0.0996300391084302,0.0996300391084302
16,0.15352362858846927,0.0996300391084302
17,0.10819340741337137,0.0996300391084302
18,0.10498328034542244,0.0996300391084302
19,0.0965215027153283,0.0965215027153283
20,0.11402658803233974,0.0965215027153283
21,0.10235296650279918,0.0965215027153283
22,0.10258118472733108,0.0965215027153283
23,0.12533274884918721,0.0965215027153283
24,0.13378210707420526,0.0965215027153283
25,0.15410957877258435,0.0965215027153283
26,0.11289148758644778,0.0965215027153283
27,0.10953280636207635,0.0965215027153283
28,0.09781995638940783,0.0965215027153283
29,0.1143040204763464,0.0965215027153283
30,0.11899471744520254,0.0965215027153283
31,0.1053586530100385,0.0965215027153283
32,0.10678908522413902,0.0965215027153283
33,0.156713140918811,0.0965215027153283
34,0.11119668724361344,0.0965215027153283
35,0.10864741791745017,0.0965215027153283
36,0.15230397840412807,0.0965215027153283
37,0.11873923096028102,0.0965215027153283
38,0.114909228499755,0.0965215027153283
39,0.14651507349237297,0.0965215027153283
40,0.15745127406371437,0.0965215027153283
41,0.1257594779850721,0.0965215027153283
42,0.14177565269822937,0.0965215027153283
43,0.13558520572109864,0.0965215027153283
44,0.10897445700167074,0.0965215027153283
45,0.15123468553344277,0.0965215027153283
46,0.11240778301241257,0.0965215027153283
47,0.1520810161841829,0.0965215027153283
48,0.10261687502773054,0.0965215027153283
49,0.11162052193909297,0.0965215027153283
50,0.11685859461682199,0.0965215027153283
51,0.11611820768579262,0.0965215027153283
52,0.10116379387680557,0.0965215027153283
53,0.10846266524837045,0.0965215027153283
54,0.11224838143507986,0.0965215027153283
55,0.15752264175690645,0.0965215027153283
56,0.14926790503828385,0.0965215027153283
57,0.1307292838700418,0.0965215027153283
58,0.16205829250442663,0.0965215027153283
59,0.11680856713978986,0.0965215027153283
60,0.10297975623588376,0.0965215027153283
61,0.15553236838566284,0.0965215027153283
62,0.12652518378404248,0.0965215027153283
63,0.09972261216955097,0.0965215027153283
64,0.10429563501564337,0.0965215027153283
65,0.16187862915161033,0.0965215027153283
66,0.10329747077366962,0.0965215027153283
67,0.11037607135998657,0.0965215027153283
68,0.10682101292353358,0.0965215027153283
69,0.11048048208155062,0.0965215027153283
70,0.10509492257096437,0.0965215027153283
71,0.13478862669727726,0.0965215027153283
72,0.15545347517344005,0.0965215027153283
73,0.1035252437437181,0.0965215027153283
74,0.1561396323172943,0.0965215027153283
75,0.10442906630351675,0.0965215027153283
76,0.135099879709539,0.0965215027153283
77,0.11203171602390238,0.0965215027153283
78,0.10541346496473165,0.0965215027153283
79,0.13235008464981884,0.0965215027153283
80,0.10343499445031344,0.0965215027153283
81,0.1475111379723001,0.0965215027153283
82,0.12451764828235573,0.0965215027153283
83,0.16470390468371224,0.0965215027153283
84,0.10627262622582476,0.0965215027153283
85,0.10502131430860212,0.0965215027153283
86,0.1454658974656424,0.0965215027153283
87,0.116531731090612,0.0965215027153283
88,0.1542196576363767,0.0965215027153283
89,0.10594604463210086,0.0965215027153283
90,0.11123526335282698,0.0965215027153283
91,0.10870888660550375,0.0965215027153283
92,0.09318853925660817,0.09318853925660817
93,0.1293711556866537,0.09318853925660817
94,0.1444802701956158,0.09318853925660817
95,0.15424329670454398,0.09318853925660817
96,0.15475631374946855,0.09318853925660817
97,0.15309921948361005,0.09318853925660817
98,0.14995019289817163,0.09318853925660817
99,0.10875040296851303,0.09318853925660817
100,0.11353365931378452,0.09318853925660817
