nfe,rmse_val,best_so_far
1,0.13247941782260791,0.13247941782260791
2,0.12787610581524195,0.12787610581524195
3,0.12726132051886166,0.12726132051886166
4,0.12455437146137617,0.12455437146137617
5,0.1549789753940875,0.12455437146137617
6,0.11411272601727612,0.11411272601727612
7,0.11254410821048003,0.11254410821048003
8,0.12136670223664066,0.11254410821048003
9,0.12520063339688084,0.11254410821048003
10,0.14644588256133528,0.11254410821048003
11,0.12151834161938685,0.11254410821048003
12,0.1262471111334969,0.11254410821048003
13,0.12156618247905884,0.11254410821048003
14,0.11145952213573267,0.11145952213573267
15,0.14579013907044117,0.11145952213573267
16,0.10883051009257427,0.10883051009257427
17,0.10506951226176911,0.10506951226176911
18,0.11397381202915219,0.10506951226176911
19,0.113060187577375,0.10506951226176911
20,0.14158283147009035,0.10506951226176911
21,0.1210844289850438,0.10506951226176911
22,0.10945010285140964,0.10506951226176911
23,0.11102105306488694,0.10506951226176911
24,0.10836838313193652,0.10506951226176911
25,0.1306460861175843,0.10506951226176911
26,0.11099811660338979,0.10506951226176911
27,0.10607237410212,0.10506951226176911
28,0.11773067266297205,0.10506951226176911
29,0.11296936589236377,0.10506951226176911
30,0.1271015823799257,0.10506951226176911
31,0.10504764882966532,0.10504764882966532
32,0.11112923986300102,0.10504764882966532
33,0.10898921303452942,0.10504764882966532
34,0.10202135510196966,0.10202135510196966
35,0.10991174425168362,0.10202135510196966
36,0.11132305869588643,0.10202135510196966
37,0.09972441609768476,0.09972441609768476
38,0.11176363120577017,0.09972441609768476
39,0.11219594332402742,0.09972441609768476
40,0.10685731228878546,0.09972441609768476
41,0.10469862432594665,0.09972441609768476
42,0.10965388819438832,0.09972441609768476
43,0.10403765283702711,0.09972441609768476
44,0.10641482426522267,0.09972441609768476
45,0.10285681102001296,0.09972441609768476
46,0.11217444041466099,0.09972441609768476
47,0.09565452645462641,0.09565452645462641
48,0.1089447894956881,0.09565452645462641
49,0.10382838894219891,0.09565452645462641
50,0.102716163312855,0.09565452645462641
51,0.10559127984278256,0.09565452645462641
52,0.1078288020349032,0.09565452645462641
53,0.10474779765937035,0.09565452645462641
54,0.10422321557913532,0.09565452645462641
55,0.10715444801030173,0.09565452645462641
56,0.10861769344401431,0.09565452645462641
57,0.10229739282936112,0.09565452645462641
58,0.10554720569292936,0.09565452645462641
59,0.10133723272564527,0.09565452645462641
60,0.10415837865408106,0.09565452645462641
61,0.11070830136483914,0.09565452645462641
62,0.10997099987448399,0.09565452645462641
63,0.10700151906819212,0.09565452645462641
64,0.10169864206019562,0.09565452645462641
65,0.10526843026186762,0.09565452645462641
66,0.11240963651191492,0.09565452645462641
67,0.09760900232801391,0.09565452645462641
68,0.1115073011567805,0.09565452645462641
69,0.10089016945934423,0.09565452645462641
70,0.09808430274407713,0.09565452645462641
71,0.10386648921609218,0.09565452645462641
72,0.10962128619619906,0.09565452645462641
73,0.10317308521811065,0.09565452645462641
74,0.10126837074412333,0.09565452645462641
75,0.10229890119015013,0.09565452645462641
76,0.11249208153030127,0.09565452645462641
77,0.10220668511571421,0.09565452645462641
78,0.1035106849158147,0.09565452645462641
79,0.1093230192810885,0.09565452645462641
80,0.10391258208393937,0.09565452645462641
81,0.10448250919717962,0.09565452645462641
82,0.10931095420998499,0.09565452645462641
83,0.10161821836131625,0.09565452645462641
84,0.10582405250509054,0.09565452645462641
85,0.1099072176500524,0.09565452645462641
86,0.10951143200923596,0.09565452645462641
87,0.09987650807464256,0.09565452645462641
88,0.10359159488066341,0.09565452645462641
89,0.10291147974631978,0.09565452645462641
90,0.1083658248826849,0.09565452645462641
91,0.1093569314412952,0.09565452645462641
92,0.1071989001642822,0.09565452645462641
93,0.10401915608609197,0.09565452645462641
94,0.10702826638843686,0.09565452645462641
95,0.10240327016580406,0.09565452645462641
96,0.10970398017319523,0.09565452645462641
97,0.09579582138967903,0.09565452645462641
98,0.10338651583655732,0.09565452645462641
99,0.10300505792726185,0.09565452645462641
100,0.10706451991397256,0.09565452645462641
